x,y,z
0.371113599,-0.442275965,0
0.5,-0.288675135,0
0.542531788,-0.197465422,0
0.577350269,0,0
0.568579021,-0.100255822,0
0.568579021,0.100255822,0
0.542531788,0.197465422,0
0.442275965,0.371113599,0
0.5,0.288675135,0
0.371113599,0.442275965,0
0.288675135,0.5,0
0.100255822,0.568579021,0
0.197465422,0.542531788,0
3.54E-17,0.577350269,0
-0.100255822,0.568579021,0
-0.288675135,0.5,0
-0.197465422,0.542531788,0
-0.371113599,0.442275965,0
-0.442275965,0.371113599,0
-0.542531788,0.197465422,0
-0.5,0.288675135,0
-0.568579021,0.100255822,0
-0.816496581,-1.00E-16,0
-0.767255812,-0.279258278,0
-0.804092163,-0.141783143,0
-0.707106781,-0.40824829,0
-0.625472669,-0.524833886,0
-0.40824829,-0.707106781,0
-0.524833886,-0.625472669,0
-0.279258278,-0.767255812,0
-0.141783143,-0.804092163,0
0.141783143,-0.804092163,0
5.00E-17,-0.816496581,0
0.279258278,-0.767255812,0
0.40824829,-0.707106781,0
0.625472669,-0.524833886,0
0.524833886,-0.625472669,0
0.707106781,-0.40824829,0
0.767255812,-0.279258278,0
0.816496581,0,0
0.804092163,-0.141783143,0
0.804092163,0.141783143,0
0.767255812,0.279258278,0
0.625472669,0.524833886,0
0.707106781,0.40824829,0
0.524833886,0.625472669,0
0.40824829,0.707106781,0
0.141783143,0.804092163,0
0.279258278,0.767255812,0
5.00E-17,0.816496581,0
-0.141783143,0.804092163,0
-0.40824829,0.707106781,0
-0.279258278,0.767255812,0
-0.524833886,0.625472669,0
-0.625472669,0.524833886,0
-0.767255812,0.279258278,0
-0.707106781,0.40824829,0
-0.804092163,0.141783143,0
-1,-1.22E-16,0
-0.939692621,-0.342020143,0
-0.984807753,-0.173648178,0
-0.866025404,-0.5,0
-0.766044443,-0.64278761,0
-0.5,-0.866025404,0
-0.64278761,-0.766044443,0
-0.342020143,-0.939692621,0
-0.173648178,-0.984807753,0
0.173648178,-0.984807753,0
6.12E-17,-1,0
0.342020143,-0.939692621,0
0.5,-0.866025404,0
0.766044443,-0.64278761,0
0.64278761,-0.766044443,0
0.866025404,-0.5,0
0.939692621,-0.342020143,0
1,0,0
0.984807753,-0.173648178,0
0.984807753,0.173648178,0
0.939692621,0.342020143,0
0.766044443,0.64278761,0
0.866025404,0.5,0
0.64278761,0.766044443,0
0.5,0.866025404,0
0.173648178,0.984807753,0
0.342020143,0.939692621,0
6.12E-17,1,0
-0.173648178,0.984807753,0
-0.5,0.866025404,0
-0.342020143,0.939692621,0
-0.64278761,0.766044443,0
-0.766044443,0.64278761,0
-0.939692621,0.342020143,0
-0.866025404,0.5,0
-0.984807753,0.173648178,0
-0.577350269,-7.07E-17,0.3
-0.542531788,-0.197465422,0.3
-0.568579021,-0.100255822,0.3
-0.5,-0.288675135,0.3
-0.442275965,-0.371113599,0.3
-0.288675135,-0.5,0.3
-0.371113599,-0.442275965,0.3
-0.197465422,-0.542531788,0.3
-0.100255822,-0.568579021,0.3
0.100255822,-0.568579021,0.3
3.54E-17,-0.577350269,0.3
0.197465422,-0.542531788,0.3
0.288675135,-0.5,0.3
0.442275965,-0.371113599,0.3
0.371113599,-0.442275965,0.3
0.5,-0.288675135,0.3
0.542531788,-0.197465422,0.3
0.577350269,0,0.3
0.568579021,-0.100255822,0.3
0.568579021,0.100255822,0.3
0.542531788,0.197465422,0.3
0.442275965,0.371113599,0.3
0.5,0.288675135,0.3
0.371113599,0.442275965,0.3
0.288675135,0.5,0.3
0.100255822,0.568579021,0.3
0.197465422,0.542531788,0.3
3.54E-17,0.577350269,0.3
-0.100255822,0.568579021,0.3
-0.288675135,0.5,0.3
-0.197465422,0.542531788,0.3
-0.371113599,0.442275965,0.3
-0.442275965,0.371113599,0.3
-0.542531788,0.197465422,0.3
-0.5,0.288675135,0.3
-0.568579021,0.100255822,0.3
-0.816496581,-1.00E-16,0.3
-0.767255812,-0.279258278,0.3
-0.804092163,-0.141783143,0.3
-0.707106781,-0.40824829,0.3
-0.625472669,-0.524833886,0.3
-0.40824829,-0.707106781,0.3
-0.524833886,-0.625472669,0.3
-0.279258278,-0.767255812,0.3
-0.141783143,-0.804092163,0.3
0.141783143,-0.804092163,0.3
5.00E-17,-0.816496581,0.3
0.279258278,-0.767255812,0.3
0.40824829,-0.707106781,0.3
0.625472669,-0.524833886,0.3
0.524833886,-0.625472669,0.3
0.707106781,-0.40824829,0.3
0.767255812,-0.279258278,0.3
0.816496581,0,0.3
0.804092163,-0.141783143,0.3
0.804092163,0.141783143,0.3
0.767255812,0.279258278,0.3
0.625472669,0.524833886,0.3
0.707106781,0.40824829,0.3
0.524833886,0.625472669,0.3
0.40824829,0.707106781,0.3
0.141783143,0.804092163,0.3
0.279258278,0.767255812,0.3
5.00E-17,0.816496581,0.3
-0.141783143,0.804092163,0.3
-0.40824829,0.707106781,0.3
-0.279258278,0.767255812,0.3
-0.524833886,0.625472669,0.3
-0.625472669,0.524833886,0.3
-0.767255812,0.279258278,0.3
-0.707106781,0.40824829,0.3
-0.804092163,0.141783143,0.3
-1,-1.22E-16,0.3
-0.939692621,-0.342020143,0.3
-0.984807753,-0.173648178,0.3
-0.866025404,-0.5,0.3
-0.766044443,-0.64278761,0.3
-0.5,-0.866025404,0.3
-0.64278761,-0.766044443,0.3
-0.342020143,-0.939692621,0.3
-0.173648178,-0.984807753,0.3
0.173648178,-0.984807753,0.3
6.12E-17,-1,0.3
0.342020143,-0.939692621,0.3
0.5,-0.866025404,0.3
0.766044443,-0.64278761,0.3
0.64278761,-0.766044443,0.3
0.866025404,-0.5,0.3
0.939692621,-0.342020143,0.3
1,0,0.3
0.984807753,-0.173648178,0.3
0.984807753,0.173648178,0.3
0.939692621,0.342020143,0.3
0.766044443,0.64278761,0.3
0.866025404,0.5,0.3
0.64278761,0.766044443,0.3
0.5,0.866025404,0.3
0.173648178,0.984807753,0.3
0.342020143,0.939692621,0.3
6.12E-17,1,0.3
-0.173648178,0.984807753,0.3
-0.5,0.866025404,0.3
-0.342020143,0.939692621,0.3
-0.64278761,0.766044443,0.3
-0.766044443,0.64278761,0.3
-0.939692621,0.342020143,0.3
-0.866025404,0.5,0.3
-0.984807753,0.173648178,0.3
-0.577350269,-7.07E-17,0.6
-0.542531788,-0.197465422,0.6
-0.568579021,-0.100255822,0.6
-0.5,-0.288675135,0.6
-0.442275965,-0.371113599,0.6
-0.288675135,-0.5,0.6
-0.371113599,-0.442275965,0.6
-0.197465422,-0.542531788,0.6
-0.100255822,-0.568579021,0.6
0.100255822,-0.568579021,0.6
3.54E-17,-0.577350269,0.6
0.197465422,-0.542531788,0.6
0.288675135,-0.5,0.6
0.442275965,-0.371113599,0.6
0.371113599,-0.442275965,0.6
0.5,-0.288675135,0.6
0.542531788,-0.197465422,0.6
0.577350269,0,0.6
0.568579021,-0.100255822,0.6
0.568579021,0.100255822,0.6
0.542531788,0.197465422,0.6
0.442275965,0.371113599,0.6
0.5,0.288675135,0.6
0.371113599,0.442275965,0.6
0.288675135,0.5,0.6
0.100255822,0.568579021,0.6
0.197465422,0.542531788,0.6
3.54E-17,0.577350269,0.6
-0.100255822,0.568579021,0.6
-0.288675135,0.5,0.6
-0.197465422,0.542531788,0.6
-0.371113599,0.442275965,0.6
-0.442275965,0.371113599,0.6
-0.542531788,0.197465422,0.6
-0.5,0.288675135,0.6
-0.568579021,0.100255822,0.6
-0.816496581,-1.00E-16,0.6
-0.767255812,-0.279258278,0.6
-0.804092163,-0.141783143,0.6
-0.707106781,-0.40824829,0.6
-0.625472669,-0.524833886,0.6
-0.40824829,-0.707106781,0.6
-0.524833886,-0.625472669,0.6
-0.279258278,-0.767255812,0.6
-0.141783143,-0.804092163,0.6
0.141783143,-0.804092163,0.6
5.00E-17,-0.816496581,0.6
0.279258278,-0.767255812,0.6
0.40824829,-0.707106781,0.6
0.625472669,-0.524833886,0.6
0.524833886,-0.625472669,0.6
0.707106781,-0.40824829,0.6
0.767255812,-0.279258278,0.6
0.816496581,0,0.6
0.804092163,-0.141783143,0.6
0.804092163,0.141783143,0.6
0.767255812,0.279258278,0.6
0.625472669,0.524833886,0.6
0.707106781,0.40824829,0.6
0.524833886,0.625472669,0.6
0.40824829,0.707106781,0.6
0.141783143,0.804092163,0.6
0.279258278,0.767255812,0.6
5.00E-17,0.816496581,0.6
-0.141783143,0.804092163,0.6
-0.40824829,0.707106781,0.6
-0.279258278,0.767255812,0.6
-0.524833886,0.625472669,0.6
-0.625472669,0.524833886,0.6
-0.767255812,0.279258278,0.6
-0.707106781,0.40824829,0.6
-0.804092163,0.141783143,0.6
-1,-1.22E-16,0.6
-0.939692621,-0.342020143,0.6
-0.984807753,-0.173648178,0.6
-0.866025404,-0.5,0.6
-0.766044443,-0.64278761,0.6
-0.5,-0.866025404,0.6
-0.64278761,-0.766044443,0.6
-0.342020143,-0.939692621,0.6
-0.173648178,-0.984807753,0.6
0.173648178,-0.984807753,0.6
6.12E-17,-1,0.6
0.342020143,-0.939692621,0.6
0.5,-0.866025404,0.6
0.766044443,-0.64278761,0.6
0.64278761,-0.766044443,0.6
0.866025404,-0.5,0.6
0.939692621,-0.342020143,0.6
1,0,0.6
0.984807753,-0.173648178,0.6
0.984807753,0.173648178,0.6
0.939692621,0.342020143,0.6
0.766044443,0.64278761,0.6
0.866025404,0.5,0.6
0.64278761,0.766044443,0.6
0.5,0.866025404,0.6
0.173648178,0.984807753,0.6
0.342020143,0.939692621,0.6
6.12E-17,1,0.6
-0.173648178,0.984807753,0.6
-0.5,0.866025404,0.6
-0.342020143,0.939692621,0.6
-0.64278761,0.766044443,0.6
-0.766044443,0.64278761,0.6
-0.939692621,0.342020143,0.6
-0.866025404,0.5,0.6
-0.984807753,0.173648178,0.6
